Name,Vac,Pso,Paco,Pdco,Vdco,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,CEC_Date,CEC_hybrid
SolarJuice American Inc : S4A-A86 [240V],240,47.4759,8613,9035.99,396.5,-2.61E-06,-4.22E-05,0.00177193,-0.00158556,42,430,22.7894,363,430,n/a,N
SolarJuice American Inc : S4A-H60 [240V],240,76.4939,5570,5867.43,335,-2.71E-06,-4.26E-05,0.000676665,-0.00229771,25,425,17.5147,240,425,n/a,Y
SolarJuice American Inc : S4A-H70 [240V],240,76.9232,6666,7018.43,360,-2.61E-06,-4.12E-05,0.00105761,-0.00230985,25,425,19.4956,290,425,n/a,Y
SolarJuice American Inc : S4A-H76 [240V],240,49.2438,7642,7986.08,402,-2.27E-06,-4.04E-05,-0.00127208,-0.000949816,44,500,19.8659,304,500,n/a,Y
SolarJuice American Inc : S4A-H86 [240V],240,47.3466,8604,9013.82,379,-2.56E-06,-4.07E-05,-0.000601147,-0.000323469,40,500,23.7832,258,500,n/a,Y
Solaria Corporation: Solaria PowerXT-345R-AC [240V],240,1.94866,290,298.997,36,-6.43E-05,-0.00028131,0.017354,-0.0310376,0.025,45,8.30546,27,45,05/01/2019,N
Solaria Corporation: Solaria PowerXT-350R-AC [240V],240,1.94866,290,298.997,36,-6.43E-05,-0.00028131,0.017354,-0.0310376,0.025,45,8.30546,27,45,05/01/2019,N
Solaria Corporation: Solaria PowerXT-355R-AC [240V],240,1.94866,290,298.997,36,-6.43E-05,-0.00028131,0.017354,-0.0310376,0.025,45,8.30546,27,45,05/01/2019,N
Solaria Corporation: Solaria PowerXT-360R-AC [240V],240,1.94866,290,298.997,36,-6.43E-05,-0.00028131,0.017354,-0.0310376,0.025,45,8.30546,27,45,05/01/2019,N
Solaria Corporation: Solaria PowerXT-365R-AC [240V],240,1.8874,290,299.066,36,-6.58E-05,-0.000273767,0.0188955,-0.0278326,0.025,45,8.30738,27,45,n/a,N
Solaria Corporation: Solaria PowerXT-395R-PM-AC [240V],240,1.80212,348.698,361.323,40.5,-5.76E-05,4.75E-06,0.00855034,-0.00969625,0.019,43,8.92155,38,43,n/a,N
Solaria Corporation: Solaria PowerXT-400R-PM-AC [240V],240,1.80212,348.698,361.323,40.5,-5.76E-05,4.75E-06,0.00855034,-0.00969625,0.019,43,8.92155,38,43,n/a,N
Solaria Corporation: Solaria PowerXT-410R-PM-AC [240V],240,1.80212,348.698,361.323,40.5,-5.76E-05,4.75E-06,0.00855034,-0.00969625,0.019,43,8.92155,38,43,n/a,N
Solaria Corporation: Solaria PowerXT-420R-PM-AC [240V],240,1.80212,348.698,361.323,40.5,-5.76E-05,4.75E-06,0.00855034,-0.00969625,0.019,43,8.92155,38,43,n/a,N
Sparq Systems: Q1200-4101 [240V],240,11.1883,1165,1203.41,29,-1.99E-05,-3.09E-05,0.0589859,0.019691,0.04,31,41.4967,28,31,10/15/2018,N
Sparq Systems: Q1200-4102 [240V],240,16.8043,1203,1237.28,37,-2.26E-05,0.000788287,0.025118,0.100027,0.04,38,33.44,36,38,n/a,N
SunPower: MI-C-320-US208/240-1X [208V],208,2.86242,320,333.7,60,-6.61E-05,-8.79E-06,0.021228,0.0186934,0.02,64,5.56167,53,64,04/01/2020,N
SunPower: MI-C-320-US208/240-1X [240V],240,3.00583,320,332.891,60,-5.76E-05,-0.000321303,0.00285531,-0.0164006,0.1,64,5.54818,53,64,04/01/2020,N
SunPower: SPR-12000m-3 [480V],480,56.0753,12000,12273.9,675,-7.10E-07,-3.53E-05,-0.000324463,-0.00173807,1.79,800,18.1836,300,800,10/15/2018,N
SunPower: SPR-12000m-3-H [480V],480,56.0753,12000,12273.9,675,-7.10E-07,-3.53E-05,-0.000324463,-0.00173807,1.79,800,18.1836,300,800,10/15/2018,N
SunPower: SPR-15000m-3 [480V],480,52.4856,15000,15350.5,675,-5.87E-07,-3.82E-05,-0.000300578,-0.00170938,1.79,800,22.7414,300,800,10/15/2018,N
SunPower: SPR-15000m-3-H [480V],480,52.4856,15000,15350.5,675,-5.87E-07,-3.82E-05,-0.000300578,-0.00170938,1.79,800,22.7414,300,800,10/15/2018,N
SunPower: SPR-20000m-3 [480V],480,46.7203,20000,20475.1,695,-6.38E-07,-3.27E-05,-0.000483516,-0.000524832,1.79,800,29.4605,380,800,10/15/2018,N
