Date,Hour,Price kWh
27/01/2022,9,0.06837
27/01/2022,10,0.05762
27/01/2022,11,0.047
27/01/2022,12,0.03
27/01/2022,13,0.02674
27/01/2022,14,0.02355
27/01/2022,15,0.015
27/01/2022,16,0.018
27/01/2022,17,0.02674
27/01/2022,18,0.04802
27/01/2022,19,0.05243
27/01/2022,20,0.078
27/01/2022,21,0.08201
27/01/2022,22,0.078
27/01/2022,23,0.07489
27/01/2022,24,0.05243
28/01/2022,1,0.04
28/01/2022,2,0.03669
28/01/2022,3,0.03669
28/01/2022,4,0.03627
28/01/2022,5,0.03594
28/01/2022,6,0.0352
28/01/2022,7,0.03627
28/01/2022,8,0.0376
28/01/2022,9,0.04274
28/01/2022,10,0.0395
28/01/2022,11,0.0348
28/01/2022,12,0.02956
28/01/2022,13,0.02447
28/01/2022,14,0.02073
28/01/2022,15,0.018
28/01/2022,16,0.015
28/01/2022,17,0.0224
28/01/2022,18,0.035
28/01/2022,19,0.06309
28/01/2022,20,0.07023
28/01/2022,21,0.07489
28/01/2022,22,0.07489
28/01/2022,23,0.07099
28/01/2022,24,0.06309
29/01/2022,1,0.05234
29/01/2022,2,0.04
29/01/2022,3,0.0389
29/01/2022,4,0.03845
29/01/2022,5,0.03805
29/01/2022,6,0.03805
29/01/2022,7,0.0387
29/01/2022,8,0.0391
29/01/2022,9,0.0395
29/01/2022,10,0.0395
29/01/2022,11,0.03805
29/01/2022,12,0.03645
29/01/2022,13,0.03799
29/01/2022,14,0.0395
29/01/2022,15,0.04032
29/01/2022,16,0.0395
29/01/2022,17,0.04394
29/01/2022,18,0.09
29/01/2022,19,0.12259
29/01/2022,20,0.17858
29/01/2022,21,0.17251
29/01/2022,22,0.16232
29/01/2022,23,0.13062
29/01/2022,24,0.10683
30/01/2022,1,0.11705
30/01/2022,2,0.1196
30/01/2022,3,0.11873
30/01/2022,4,0.11033
30/01/2022,5,0.09
30/01/2022,6,0.11842
30/01/2022,7,0.1196
30/01/2022,8,0.14
30/01/2022,9,0.16927
30/01/2022,10,0.15463
30/01/2022,11,0.12765
30/01/2022,12,0.12536
30/01/2022,13,0.1232
30/01/2022,14,0.12132
30/01/2022,15,0.1196
30/01/2022,16,0.11848
30/01/2022,17,0.12132
30/01/2022,18,0.1294
30/01/2022,19,0.16745
30/01/2022,20,0.22
30/01/2022,21,0.18784
30/01/2022,22,0.17285
30/01/2022,23,0.13099
30/01/2022,24,0.113
31/01/2022,1,0.12528
31/01/2022,2,0.10845
31/01/2022,3,0.099
31/01/2022,4,0.10845
31/01/2022,5,0.11
31/01/2022,6,0.11
31/01/2022,7,0.11
31/01/2022,8,0.13966
31/01/2022,9,0.16745
31/01/2022,10,0.14088
31/01/2022,11,0.115
31/01/2022,12,0.10519
31/01/2022,13,0.11
31/01/2022,14,0.10999
31/01/2022,15,0.10897
31/01/2022,16,0.10898
31/01/2022,17,0.10898
31/01/2022,18,0.12575
31/01/2022,19,0.14701
31/01/2022,20,0.18736
31/01/2022,21,0.17648
31/01/2022,22,0.16442
31/01/2022,23,0.13766
31/01/2022,24,0.1248
01/02/2022,1,0.13365
01/02/2022,2,0.12151
01/02/2022,3,0.09939
01/02/2022,4,0.10379
01/02/2022,5,0.11
01/02/2022,6,0.09999
01/02/2022,7,0.115
01/02/2022,8,0.13824
01/02/2022,9,0.15905
01/02/2022,10,0.14654
01/02/2022,11,0.1296
01/02/2022,12,0.1
01/02/2022,13,0.10798
01/02/2022,14,0.10442
01/02/2022,15,0.09955
01/02/2022,16,0.09815
01/02/2022,17,0.10094
01/02/2022,18,0.13703
01/02/2022,19,0.15905
01/02/2022,20,0.18974
01/02/2022,21,0.17502
01/02/2022,22,0.16
01/02/2022,23,0.14339
01/02/2022,24,0.13165
02/02/2022,1,0.11989
02/02/2022,2,0.12313
02/02/2022,3,0.119
02/02/2022,4,0.11862
02/02/2022,5,0.11374
02/02/2022,6,0.12729
02/02/2022,7,0.134
02/02/2022,8,0.1456
02/02/2022,9,0.155
02/02/2022,10,0.15226
02/02/2022,11,0.1375
02/02/2022,12,0.12703
02/02/2022,13,0.12633
02/02/2022,14,0.12633
02/02/2022,15,0.12633
02/02/2022,16,0.12633
02/02/2022,17,0.12986
02/02/2022,18,0.14389
02/02/2022,19,0.16756
02/02/2022,20,0.17533
02/02/2022,21,0.1635
02/02/2022,22,0.15297
02/02/2022,23,0.14366
02/02/2022,24,0.13465
03/02/2022,1,0.12586
03/02/2022,2,0.12448
03/02/2022,3,0.12001
03/02/2022,4,0.10786
03/02/2022,5,0.10663
03/02/2022,6,0.10986
03/02/2022,7,0.12959
03/02/2022,8,0.1497
03/02/2022,9,0.16514
03/02/2022,10,0.15611
03/02/2022,11,0.14316
03/02/2022,12,0.136
03/02/2022,13,0.1328
03/02/2022,14,0.12995
03/02/2022,15,0.1264
03/02/2022,16,0.1232
03/02/2022,17,0.13069
03/02/2022,18,0.14199
03/02/2022,19,0.1587
03/02/2022,20,0.18513
03/02/2022,21,0.17306
03/02/2022,22,0.15215
03/02/2022,23,0.15098
03/02/2022,24,0.14658
04/02/2022,1,0.15809
04/02/2022,2,0.1516
04/02/2022,3,0.13842
04/02/2022,4,0.12912
04/02/2022,5,0.12955
04/02/2022,6,0.13132
04/02/2022,7,0.13
04/02/2022,8,0.13132
04/02/2022,9,0.13569
04/02/2022,10,0.12955
04/02/2022,11,0.12114
04/02/2022,12,0.11668
04/02/2022,13,0.1
04/02/2022,14,0.095
04/02/2022,15,0.08958
04/02/2022,16,0.0876
04/02/2022,17,0.088
04/02/2022,18,0.11958
04/02/2022,19,0.13151
04/02/2022,20,0.1481
04/02/2022,21,0.14849
04/02/2022,22,0.14529
04/02/2022,23,0.13151
04/02/2022,24,0.12607
05/02/2022,1,0.10384
05/02/2022,2,0.09402
05/02/2022,3,0.0883
05/02/2022,4,0.0879
05/02/2022,5,0.08611
05/02/2022,6,0.08558
05/02/2022,7,0.08569
05/02/2022,8,0.08569
05/02/2022,9,0.08569
05/02/2022,10,0.072
05/02/2022,11,0.03128
05/02/2022,12,0.01769
05/02/2022,13,0.01769
05/02/2022,14,0.01769
05/02/2022,15,0.01769
05/02/2022,16,0.01769
05/02/2022,17,0.02036
05/02/2022,18,0.08558
05/02/2022,19,0.11686
05/02/2022,20,0.14101
05/02/2022,21,0.1443
05/02/2022,22,0.14459
05/02/2022,23,0.13842
05/02/2022,24,0.11948
06/02/2022,1,0.105
06/02/2022,2,0.0899
06/02/2022,3,0.0883
06/02/2022,4,0.0879
06/02/2022,5,0.088
06/02/2022,6,0.09
06/02/2022,7,0.10465
06/02/2022,8,0.14513
06/02/2022,9,0.16111
06/02/2022,10,0.15071
06/02/2022,11,0.14191
06/02/2022,12,0.13936
06/02/2022,13,0.14191
06/02/2022,14,0.142
06/02/2022,15,0.14061
06/02/2022,16,0.14
06/02/2022,17,0.14136
06/02/2022,18,0.14672
06/02/2022,19,0.16092
06/02/2022,20,0.17811
06/02/2022,21,0.18621
06/02/2022,22,0.16646
06/02/2022,23,0.15819
06/02/2022,24,0.14513
07/02/2022,1,0.13683
07/02/2022,2,0.13176
07/02/2022,3,0.12319
07/02/2022,4,0.12
07/02/2022,5,0.12078
07/02/2022,6,0.13068
07/02/2022,7,0.11197
07/02/2022,8,0.14749
07/02/2022,9,0.15529
07/02/2022,10,0.15021
07/02/2022,11,0.13
07/02/2022,12,0.12966
07/02/2022,13,0.12578
07/02/2022,14,0.12828
07/02/2022,15,0.1276
07/02/2022,16,0.12828
07/02/2022,17,0.1337
07/02/2022,18,0.1474
07/02/2022,19,0.154
07/02/2022,20,0.16574
07/02/2022,21,0.16574
07/02/2022,22,0.15859
07/02/2022,23,0.14607
07/02/2022,24,0.1243
08/02/2022,1,0.13755
08/02/2022,2,0.11505
08/02/2022,3,0.1098
08/02/2022,4,0.108
08/02/2022,5,0.10902
08/02/2022,6,0.11
08/02/2022,7,0.12198
08/02/2022,8,0.134
08/02/2022,9,0.14906
08/02/2022,10,0.14906
08/02/2022,11,0.13755
08/02/2022,12,0.13855
08/02/2022,13,0.14023
08/02/2022,14,0.13514
08/02/2022,15,0.13646
08/02/2022,16,0.14474
08/02/2022,17,0.14906
08/02/2022,18,0.14155
08/02/2022,19,0.15
08/02/2022,20,0.16401
08/02/2022,21,0.16645
08/02/2022,22,0.16259
08/02/2022,23,0.15131
08/02/2022,24,0.14906
09/02/2022,1,0.14551
09/02/2022,2,0.14247
